Flight_Distance,Dep_Arr_Time_Convenient,Departure_Delay_Minutes,Arrival_Delay_Minutes,Overall_Satisfaction
463,2,51,111,neutral or dissatisfied
1371,4,24,21,neutral or dissatisfied
113,2,0,0,satisfied
404,2,0,0,satisfied
803,5,0,0,neutral or dissatisfied
153,3,0,0,neutral or dissatisfied
1209,4,158,177,satisfied
646,3,4,0,neutral or dissatisfied
645,1,0,1,neutral or dissatisfied
3747,2,0,31,satisfied
2274,4,0,17,satisfied
282,1,112,108,neutral or dissatisfied
2218,0,2,6,neutral or dissatisfied
1892,2,0,0,neutral or dissatisfied
1000,3,0,0,neutral or dissatisfied
861,3,32,23,satisfied
366,5,0,0,satisfied
390,5,0,0,neutral or dissatisfied
261,4,0,0,satisfied
1076,5,0,0,neutral or dissatisfied
978,1,0,0,satisfied
175,3,0,0,neutral or dissatisfied
405,5,0,0,satisfied
1747,3,28,44,neutral or dissatisfied
1915,1,0,0,satisfied
591,4,0,27,neutral or dissatisfied
302,3,11,11,neutral or dissatisfied
1068,5,2,0,satisfied
1585,5,19,14,neutral or dissatisfied
1624,3,45,55,neutral or dissatisfied
1379,3,15,5,satisfied
361,4,22,12,neutral or dissatisfied
490,5,0,0,satisfied
282,5,35,28,neutral or dissatisfied
269,4,0,0,satisfied
550,0,0,0,neutral or dissatisfied
526,5,0,0,satisfied
438,4,0,0,neutral or dissatisfied
1035,5,0,0,neutral or dissatisfied
314,3,0,0,satisfied
3756,5,0,0,satisfied
547,4,0,0,neutral or dissatisfied
431,4,0,0,neutral or dissatisfied
359,2,9,4,neutral or dissatisfied
542,5,0,0,satisfied
102,4,0,0,satisfied
139,2,6,11,neutral or dissatisfied
2234,1,0,0,neutral or dissatisfied
1800,3,17,15,satisfied
1874,5,3,4,satisfied
520,2,38,105,neutral or dissatisfied
612,3,0,0,neutral or dissatisfied
1023,2,0,0,neutral or dissatisfied
181,4,0,0,satisfied
2736,2,0,2,satisfied
73,0,0,0,satisfied
241,2,0,0,satisfied
926,5,0,0,satisfied
1276,5,46,37,satisfied
544,0,27,44,satisfied
3701,5,15,4,satisfied
371,3,0,0,neutral or dissatisfied
777,4,2,8,neutral or dissatisfied
3508,3,0,0,satisfied
600,2,0,0,neutral or dissatisfied
670,3,0,7,satisfied
110,4,0,0,satisfied
196,0,0,0,satisfied
1747,5,0,0,satisfied
3645,2,11,3,satisfied
1756,3,0,2,neutral or dissatisfied
147,2,0,0,satisfied
481,1,3,0,satisfied
1276,3,0,0,neutral or dissatisfied
896,3,7,4,satisfied
334,1,0,0,satisfied
135,2,0,1,satisfied
224,3,5,5,neutral or dissatisfied
3713,1,0,0,satisfied
468,4,2,18,neutral or dissatisfied
817,3,0,0,neutral or dissatisfied
495,4,12,12,neutral or dissatisfied
362,4,16,11,neutral or dissatisfied
2248,3,0,0,satisfied
954,3,40,63,neutral or dissatisfied
882,3,72,81,neutral or dissatisfied
3215,4,0,0,neutral or dissatisfied
862,3,0,0,satisfied
430,5,9,20,satisfied
1036,4,38,26,neutral or dissatisfied
2288,3,10,0,satisfied
1091,2,0,0,neutral or dissatisfied
1034,5,0,0,satisfied
634,4,0,0,satisfied
503,2,0,0,satisfied
1521,4,0,0,neutral or dissatisfied
643,2,62,56,satisfied
312,5,0,2,satisfied
308,4,0,0,neutral or dissatisfied
2677,1,4,8,satisfied
1390,4,8,0,satisfied
895,2,26,10,neutral or dissatisfied
1476,1,4,0,neutral or dissatisfied
1041,5,0,8,neutral or dissatisfied
829,4,26,32,satisfied
413,4,5,3,neutral or dissatisfied
2248,3,161,165,neutral or dissatisfied
694,4,4,0,neutral or dissatisfied
532,1,0,0,satisfied
725,3,0,0,neutral or dissatisfied
3462,4,0,0,satisfied
187,5,89,75,neutral or dissatisfied
630,4,182,187,neutral or dissatisfied
812,4,0,0,satisfied
2763,5,0,0,neutral or dissatisfied
337,3,0,0,neutral or dissatisfied
1464,5,0,3,neutral or dissatisfied
427,5,0,0,neutral or dissatisfied
881,2,0,0,neutral or dissatisfied
631,5,0,10,neutral or dissatisfied
2041,5,14,2,neutral or dissatisfied
223,4,4,0,satisfied
3175,4,5,0,satisfied
3789,5,13,15,satisfied
257,1,2,1,neutral or dissatisfied
1737,2,0,0,satisfied
725,5,0,0,satisfied
2013,1,14,8,satisfied
718,4,0,0,satisfied
2322,4,0,1,satisfied
3930,1,0,0,satisfied
149,3,14,2,neutral or dissatisfied
1246,1,68,51,satisfied
3762,2,0,0,neutral or dissatisfied
300,1,0,0,satisfied
3275,5,1,0,satisfied
100,5,0,0,satisfied
76,5,0,0,satisfied
391,5,54,51,satisfied
516,1,0,0,neutral or dissatisfied
1199,2,43,34,satisfied
337,3,92,82,satisfied
414,2,0,0,neutral or dissatisfied
1590,3,0,0,neutral or dissatisfied
1832,2,17,14,neutral or dissatisfied
2385,1,0,0,satisfied
3021,4,1,13,neutral or dissatisfied
151,4,5,0,neutral or dissatisfied
347,2,0,3,satisfied
1192,4,2,0,satisfied
260,3,0,3,neutral or dissatisfied
936,2,0,0,satisfied
3932,4,10,7,satisfied
3582,4,0,0,satisfied
342,5,9,8,neutral or dissatisfied
3249,0,0,0,satisfied
3937,5,39,50,neutral or dissatisfied
1065,3,0,0,neutral or dissatisfied
1749,4,10,0,satisfied
1185,1,14,4,neutral or dissatisfied
337,3,0,1,satisfied
872,3,0,0,neutral or dissatisfied
920,5,0,6,satisfied
692,5,0,0,satisfied
2172,4,0,0,neutral or dissatisfied
3588,4,0,0,neutral or dissatisfied
212,0,0,0,satisfied
1895,5,0,0,satisfied
590,1,0,4,satisfied
1590,5,9,0,neutral or dissatisfied
3124,5,0,0,satisfied
576,3,0,0,neutral or dissatisfied
2125,1,6,0,neutral or dissatisfied
852,1,0,0,neutral or dissatisfied
1545,1,0,0,satisfied
109,5,25,18,satisfied
396,2,6,18,satisfied
740,1,0,0,neutral or dissatisfied
2572,5,63,69,satisfied
844,2,5,0,satisfied
2963,3,45,41,satisfied
397,3,0,0,neutral or dissatisfied
1979,5,0,5,satisfied
1950,5,0,0,satisfied
864,0,3,0,neutral or dissatisfied
1068,1,0,0,neutral or dissatisfied
1533,4,0,0,neutral or dissatisfied
337,1,0,0,neutral or dissatisfied
3041,4,7,3,satisfied
786,2,24,22,neutral or dissatisfied
1448,3,9,0,satisfied
140,2,15,5,neutral or dissatisfied
794,1,0,0,neutral or dissatisfied
377,1,0,0,satisfied
762,2,0,0,satisfied
781,2,2,0,neutral or dissatisfied
488,4,4,10,satisfied
458,2,0,0,satisfied
237,0,0,0,neutral or dissatisfied
202,3,3,8,satisfied
1972,4,0,0,satisfied
781,4,0,0,satisfied
1826,2,119,135,neutral or dissatisfied
366,4,10,18,neutral or dissatisfied
1674,3,8,2,neutral or dissatisfied
255,4,104,113,satisfied
2611,5,3,0,satisfied
370,0,2,8,neutral or dissatisfied
419,2,179,209,neutral or dissatisfied
896,1,7,8,neutral or dissatisfied
338,5,25,20,satisfied
297,5,0,0,satisfied
2324,4,2,1,satisfied
321,1,4,0,neutral or dissatisfied
414,4,141,141,neutral or dissatisfied
600,1,0,0,neutral or dissatisfied
2670,2,0,0,satisfied
2402,1,0,23,satisfied
1999,4,3,0,satisfied
1748,4,0,0,satisfied
3979,1,0,0,satisfied
162,2,0,11,neutral or dissatisfied
345,4,0,0,satisfied
829,5,5,0,neutral or dissatisfied
222,2,28,21,satisfied
3443,4,36,31,neutral or dissatisfied
2248,2,0,33,satisfied
2565,3,0,4,satisfied
991,1,55,42,satisfied
762,3,0,0,neutral or dissatisfied
3715,4,0,0,satisfied
1195,4,5,14,satisfied
533,4,0,0,neutral or dissatisfied
652,1,65,49,neutral or dissatisfied
187,1,0,0,neutral or dissatisfied
1990,3,0,0,neutral or dissatisfied
160,5,29,22,neutral or dissatisfied
606,1,0,25,neutral or dissatisfied
212,4,0,0,neutral or dissatisfied
872,2,9,0,neutral or dissatisfied
3862,5,0,6,neutral or dissatisfied
130,5,0,0,neutral or dissatisfied
853,4,0,0,satisfied
528,5,8,0,neutral or dissatisfied
488,0,0,0,neutral or dissatisfied
615,5,207,178,neutral or dissatisfied
200,5,0,0,neutral or dissatisfied
1791,1,9,0,satisfied
1005,5,0,0,satisfied
3273,2,17,13,neutral or dissatisfied
189,5,25,19,neutral or dissatisfied
2603,4,0,0,satisfied
541,0,0,0,neutral or dissatisfied
1639,1,12,0,satisfied
2479,5,114,86,neutral or dissatisfied
721,2,201,209,satisfied
402,3,15,9,neutral or dissatisfied
3540,1,0,0,satisfied
328,5,10,9,neutral or dissatisfied
3725,5,21,8,neutral or dissatisfied
190,1,6,18,satisfied
978,4,29,55,neutral or dissatisfied
2915,4,0,0,neutral or dissatisfied
412,3,0,0,neutral or dissatisfied
1190,4,12,25,neutral or dissatisfied
191,2,0,0,neutral or dissatisfied
456,3,14,53,satisfied
1703,4,0,0,neutral or dissatisfied
991,1,0,0,neutral or dissatisfied
637,5,0,0,satisfied
926,4,0,1,neutral or dissatisfied
236,4,0,0,neutral or dissatisfied
3029,1,16,13,neutral or dissatisfied
2978,5,0,0,satisfied
949,4,0,0,neutral or dissatisfied
1814,1,19,31,satisfied
224,4,0,2,neutral or dissatisfied
2170,2,46,41,neutral or dissatisfied
751,3,0,2,neutral or dissatisfied
1579,4,0,0,neutral or dissatisfied
533,5,36,39,neutral or dissatisfied
1084,4,0,0,neutral or dissatisfied
2405,1,10,2,satisfied
580,4,22,3,satisfied
479,3,0,0,satisfied
1012,5,0,2,satisfied
3700,2,0,5,satisfied
2372,4,0,0,neutral or dissatisfied
1262,3,0,0,satisfied
1726,5,0,0,satisfied
1481,3,1,0,satisfied
1282,4,0,0,satisfied
1069,2,32,26,neutral or dissatisfied
427,2,0,0,neutral or dissatisfied
474,2,0,0,neutral or dissatisfied
591,4,0,0,satisfied
192,3,24,12,neutral or dissatisfied
3725,4,8,4,satisfied
107,5,0,0,satisfied
1737,3,0,0,neutral or dissatisfied
3428,4,20,3,satisfied
373,3,7,0,neutral or dissatisfied
689,1,0,5,neutral or dissatisfied
508,4,54,46,satisfied
624,1,0,0,neutral or dissatisfied
912,2,0,0,satisfied
3722,3,0,0,satisfied
391,0,0,0,neutral or dissatisfied
1109,0,16,8,neutral or dissatisfied
882,4,20,8,neutral or dissatisfied
866,5,27,35,neutral or dissatisfied
1035,5,0,8,neutral or dissatisfied
1086,4,9,0,satisfied
1756,4,14,13,neutral or dissatisfied
1061,5,1,0,neutral or dissatisfied
542,1,119,119,satisfied
331,2,0,0,neutral or dissatisfied
295,3,0,10,satisfied
287,5,4,0,neutral or dissatisfied
436,1,19,29,neutral or dissatisfied
787,4,67,87,neutral or dissatisfied
214,0,3,25,neutral or dissatisfied
425,5,0,0,neutral or dissatisfied
453,4,19,22,neutral or dissatisfied
158,4,0,2,satisfied
1416,4,0,0,satisfied
2342,4,1,0,neutral or dissatisfied
2058,2,12,6,neutral or dissatisfied
946,5,0,0,satisfied
2845,3,0,0,neutral or dissatisfied
677,1,79,73,neutral or dissatisfied
1541,5,33,32,neutral or dissatisfied
528,0,0,0,neutral or dissatisfied
228,1,0,0,satisfied
3867,5,0,0,satisfied
918,5,0,0,satisfied
226,4,1,5,satisfied
325,4,54,52,neutral or dissatisfied
356,2,4,9,neutral or dissatisfied
618,5,0,0,neutral or dissatisfied
252,4,0,0,neutral or dissatisfied
391,5,0,0,neutral or dissatisfied
1440,5,0,9,neutral or dissatisfied
507,2,58,54,neutral or dissatisfied
402,4,0,0,satisfied
895,3,10,1,neutral or dissatisfied
628,3,0,0,satisfied
101,2,0,0,neutral or dissatisfied
2570,5,0,4,neutral or dissatisfied
591,3,5,0,neutral or dissatisfied
334,2,19,13,neutral or dissatisfied
374,1,19,40,satisfied
253,0,13,14,neutral or dissatisfied
1546,1,0,0,satisfied
583,1,0,0,neutral or dissatisfied
125,4,74,72,neutral or dissatisfied
3019,5,16,17,neutral or dissatisfied
546,4,0,1,neutral or dissatisfied
89,5,0,0,satisfied
3359,1,97,93,neutral or dissatisfied
1747,4,0,10,neutral or dissatisfied
431,4,4,0,neutral or dissatisfied
234,4,0,0,neutral or dissatisfied
1581,5,0,0,satisfied
948,2,15,11,neutral or dissatisfied
883,3,88,77,neutral or dissatisfied
3886,3,9,0,satisfied
1682,3,0,0,satisfied
406,4,9,0,neutral or dissatisfied
1024,3,0,9,neutral or dissatisfied
3195,1,0,0,neutral or dissatisfied
651,5,0,59,satisfied
1069,4,18,0,neutral or dissatisfied
728,4,0,0,neutral or dissatisfied
399,5,0,0,neutral or dissatisfied
351,5,30,51,satisfied
2184,3,0,10,satisfied
3179,4,0,6,satisfied
2678,2,16,19,satisfied
737,5,0,14,neutral or dissatisfied
1005,3,0,14,neutral or dissatisfied
3769,2,0,16,neutral or dissatisfied
1151,2,0,0,neutral or dissatisfied
331,4,0,0,neutral or dissatisfied
1204,1,6,0,satisfied
767,2,0,9,neutral or dissatisfied
1129,4,10,19,neutral or dissatisfied
109,1,0,2,satisfied
601,2,7,10,neutral or dissatisfied
551,3,0,0,neutral or dissatisfied
432,5,0,0,neutral or dissatisfied
825,1,1,31,neutral or dissatisfied
296,3,0,0,satisfied
802,1,348,349,neutral or dissatisfied
983,5,0,0,satisfied
2224,4,0,0,satisfied
1303,1,0,0,neutral or dissatisfied
77,3,0,0,neutral or dissatisfied
270,5,0,0,neutral or dissatisfied
315,3,21,33,neutral or dissatisfied
1107,3,7,2,neutral or dissatisfied
853,2,0,7,neutral or dissatisfied
277,4,0,0,neutral or dissatisfied
306,2,2,0,satisfied
201,5,0,0,satisfied
2475,4,2,28,neutral or dissatisfied
1197,1,0,0,satisfied
458,3,0,0,satisfied
562,3,44,35,neutral or dissatisfied
3460,2,0,0,neutral or dissatisfied
528,4,10,9,neutral or dissatisfied
2422,5,6,0,satisfied
3513,2,2,0,satisfied
2583,5,0,0,neutral or dissatisfied
804,2,0,0,neutral or dissatisfied
882,3,0,0,neutral or dissatisfied
2751,4,0,0,satisfied
990,2,0,0,neutral or dissatisfied
2475,2,0,0,neutral or dissatisfied
3791,4,16,1,satisfied
628,5,5,5,neutral or dissatisfied
177,5,0,0,neutral or dissatisfied
2787,2,4,0,satisfied
1021,2,40,28,satisfied
999,1,0,0,neutral or dissatisfied
413,4,0,0,neutral or dissatisfied
1874,5,0,0,satisfied
544,4,0,0,satisfied
122,5,0,1,satisfied
1310,5,0,3,satisfied
1390,2,9,0,satisfied
2586,3,0,0,satisfied
599,0,155,163,neutral or dissatisfied
366,5,8,7,neutral or dissatisfied
545,2,0,0,satisfied
954,2,0,0,neutral or dissatisfied
321,4,0,0,satisfied
1846,5,5,0,neutral or dissatisfied
1205,1,0,0,satisfied
822,4,47,47,satisfied
563,3,0,0,neutral or dissatisfied
3243,4,24,38,neutral or dissatisfied
370,4,8,5,neutral or dissatisfied
834,1,62,59,satisfied
422,1,0,0,neutral or dissatisfied
438,4,9,14,neutral or dissatisfied
2401,1,22,14,neutral or dissatisfied
854,4,0,0,neutral or dissatisfied
569,4,0,0,satisfied
228,5,0,0,satisfied
1464,1,0,0,satisfied
247,4,0,0,neutral or dissatisfied
2810,3,8,0,satisfied
214,0,0,0,neutral or dissatisfied
448,1,0,2,satisfied
77,4,0,0,neutral or dissatisfied
1008,5,1,43,neutral or dissatisfied
479,0,0,7,neutral or dissatisfied
67,5,0,0,neutral or dissatisfied
397,4,110,116,neutral or dissatisfied
200,2,96,78,neutral or dissatisfied
489,3,0,0,neutral or dissatisfied
1299,2,2,0,neutral or dissatisfied
1061,5,0,0,satisfied
337,5,6,0,satisfied
1013,0,0,0,satisfied
1104,1,10,9,neutral or dissatisfied
2454,5,16,0,neutral or dissatisfied
447,5,0,1,neutral or dissatisfied
304,2,0,0,neutral or dissatisfied
604,5,77,99,satisfied
67,3,48,36,neutral or dissatisfied
1990,3,20,33,satisfied
436,4,57,62,neutral or dissatisfied
2694,5,0,0,satisfied
277,3,0,0,neutral or dissatisfied
212,1,22,8,neutral or dissatisfied
1107,5,9,0,neutral or dissatisfied
612,2,0,0,neutral or dissatisfied
671,5,0,0,satisfied
919,2,18,21,neutral or dissatisfied
978,3,0,0,satisfied
1506,4,0,0,satisfied
3420,4,0,0,satisfied
187,5,17,11,neutral or dissatisfied
3446,4,0,0,satisfied
1012,4,0,0,satisfied
1749,2,58,48,satisfied
1089,5,0,0,satisfied
1911,2,0,0,satisfied
370,4,1,0,satisfied
1658,1,0,0,satisfied
528,2,0,0,neutral or dissatisfied
212,4,31,21,satisfied
1506,3,11,0,neutral or dissatisfied
882,1,0,0,neutral or dissatisfied
1303,4,0,17,neutral or dissatisfied
2469,2,0,0,satisfied
296,5,0,0,satisfied
613,5,0,1,satisfied
2078,2,7,13,satisfied
1785,5,0,0,satisfied
361,0,0,0,satisfied
717,4,11,4,satisfied
1083,2,36,25,neutral or dissatisfied
1499,1,1,0,satisfied
587,1,0,0,satisfied
508,3,94,82,neutral or dissatisfied
125,1,131,0,satisfied
813,1,0,0,neutral or dissatisfied
566,0,0,0,satisfied
507,4,35,38,satisfied
1201,1,10,0,neutral or dissatisfied
2135,5,74,74,satisfied
834,3,36,19,neutral or dissatisfied
507,3,0,0,satisfied
516,0,28,33,satisfied
3894,3,0,0,neutral or dissatisfied
963,5,0,0,satisfied
581,3,18,13,neutral or dissatisfied
577,3,39,35,neutral or dissatisfied
2505,3,0,0,neutral or dissatisfied
1640,1,0,0,satisfied
3761,2,0,0,satisfied
3431,0,3,0,satisfied
1080,3,4,0,satisfied
346,5,0,0,satisfied
480,1,56,44,neutral or dissatisfied
1073,4,2,0,neutral or dissatisfied
866,3,0,0,neutral or dissatisfied
725,2,46,71,neutral or dissatisfied
147,4,0,0,satisfied
1025,4,0,0,neutral or dissatisfied
174,4,0,0,neutral or dissatisfied
752,1,46,47,neutral or dissatisfied
1011,1,9,0,satisfied
550,4,30,24,neutral or dissatisfied
868,2,0,2,neutral or dissatisfied
1546,0,121,105,neutral or dissatisfied
696,5,42,17,neutral or dissatisfied
1507,2,15,6,satisfied
1513,2,49,51,satisfied
1121,5,0,0,satisfied
2101,4,0,0,neutral or dissatisfied
1282,4,35,14,neutral or dissatisfied
541,3,1,6,neutral or dissatisfied
270,1,0,10,neutral or dissatisfied
2478,3,0,0,satisfied
2425,3,8,0,neutral or dissatisfied
1024,5,0,3,satisfied
967,3,6,0,satisfied
946,2,4,13,neutral or dissatisfied
253,0,0,0,neutral or dissatisfied
986,4,14,3,neutral or dissatisfied
109,4,0,0,neutral or dissatisfied
2446,2,2,0,satisfied
308,5,0,0,neutral or dissatisfied
3320,5,4,7,satisfied
3273,2,0,1,neutral or dissatisfied
1916,3,27,33,neutral or dissatisfied
2475,5,0,14,neutral or dissatisfied
871,3,8,10,satisfied
1299,2,5,0,neutral or dissatisfied
678,4,0,2,neutral or dissatisfied
158,2,0,4,neutral or dissatisfied
868,4,0,0,satisfied
968,5,0,10,neutral or dissatisfied
2349,5,0,0,satisfied
1849,3,0,3,satisfied
781,5,3,3,satisfied
391,5,19,51,neutral or dissatisfied
3127,4,0,0,satisfied
1004,1,5,0,satisfied
1010,4,0,4,neutral or dissatisfied
1126,3,0,17,neutral or dissatisfied
2822,4,0,35,satisfied
2139,1,4,24,satisfied
1598,2,0,0,satisfied
190,1,103,102,neutral or dissatisfied
2492,2,33,44,satisfied
113,2,0,0,neutral or dissatisfied
1013,0,26,28,satisfied
1576,5,0,0,satisfied
1892,5,9,3,neutral or dissatisfied
3960,2,22,13,satisfied
689,4,0,0,neutral or dissatisfied
3241,2,2,0,neutral or dissatisfied
1101,2,0,0,neutral or dissatisfied
3903,1,0,3,satisfied
665,2,1,0,neutral or dissatisfied
1754,2,7,15,neutral or dissatisfied
1849,2,0,0,satisfied
965,3,0,0,satisfied
2396,3,1,2,satisfied
3235,4,0,2,satisfied
235,5,0,0,satisfied
95,5,0,0,neutral or dissatisfied
554,4,110,98,neutral or dissatisfied
1035,1,0,65,neutral or dissatisfied
240,1,70,0,satisfied
96,2,24,15,neutral or dissatisfied
296,5,0,0,neutral or dissatisfied
125,3,0,11,neutral or dissatisfied
2436,2,8,38,satisfied
1623,4,0,4,neutral or dissatisfied
261,2,0,0,neutral or dissatisfied
2092,4,0,9,neutral or dissatisfied
209,5,0,0,neutral or dissatisfied
377,5,29,29,satisfied
1171,4,0,0,neutral or dissatisfied
868,2,15,10,neutral or dissatisfied
964,4,0,0,neutral or dissatisfied
2588,2,0,23,neutral or dissatisfied
1034,5,0,0,satisfied
67,4,82,70,neutral or dissatisfied
562,5,0,0,satisfied
3112,1,0,1,satisfied
442,3,0,0,satisfied
897,3,11,0,neutral or dissatisfied
2521,4,0,5,neutral or dissatisfied
82,2,0,0,neutral or dissatisfied
328,5,0,0,neutral or dissatisfied
1065,4,0,0,neutral or dissatisfied
3778,3,0,4,neutral or dissatisfied
595,2,93,97,neutral or dissatisfied
605,4,0,6,satisfied
2386,5,0,0,neutral or dissatisfied
214,1,12,0,satisfied
650,4,9,0,neutral or dissatisfied
160,2,65,51,neutral or dissatisfied
1671,1,0,0,satisfied
803,2,195,184,neutral or dissatisfied
425,3,9,0,neutral or dissatisfied
674,5,11,16,neutral or dissatisfied
1009,3,0,2,neutral or dissatisfied
908,1,0,1,neutral or dissatisfied
1199,2,0,0,satisfied
612,4,22,55,neutral or dissatisfied
1074,4,6,13,satisfied
2076,2,0,0,satisfied
3576,4,0,2,satisfied
919,4,0,0,neutral or dissatisfied
1916,4,0,0,satisfied
954,1,0,0,neutral or dissatisfied
1371,1,9,0,satisfied
1222,4,0,2,satisfied
259,5,0,0,neutral or dissatisfied
2734,2,0,0,satisfied
255,5,5,0,neutral or dissatisfied
1806,2,0,0,satisfied
1050,3,21,55,satisfied
3419,3,0,0,satisfied
563,3,0,0,neutral or dissatisfied
139,0,33,36,neutral or dissatisfied
1165,4,0,0,satisfied
1954,3,30,41,neutral or dissatisfied
1416,2,0,4,satisfied
965,3,39,25,neutral or dissatisfied
544,2,0,2,neutral or dissatisfied
2419,1,2,0,satisfied
1052,3,0,0,neutral or dissatisfied
214,2,0,0,neutral or dissatisfied
621,4,0,0,neutral or dissatisfied
3068,5,0,0,satisfied
954,5,0,9,neutral or dissatisfied
1947,2,0,5,neutral or dissatisfied
2701,1,0,0,satisfied
2235,3,0,0,satisfied
304,5,0,1,neutral or dissatisfied
1042,4,11,0,neutral or dissatisfied
393,2,0,0,satisfied
1761,5,0,11,satisfied
337,4,0,0,neutral or dissatisfied
277,4,57,43,neutral or dissatisfied
1979,1,0,15,satisfied
441,4,13,0,neutral or dissatisfied
427,5,0,0,neutral or dissatisfied
1121,1,4,3,satisfied
213,5,0,0,satisfied
110,4,5,2,neutral or dissatisfied
427,2,5,0,neutral or dissatisfied
317,2,0,0,neutral or dissatisfied
1464,4,0,0,satisfied
200,5,0,0,satisfied
862,5,0,0,neutral or dissatisfied
399,5,0,0,satisfied
2260,3,6,20,neutral or dissatisfied
2739,1,0,8,satisfied
967,2,27,14,satisfied
554,5,11,0,neutral or dissatisfied
2801,1,4,5,satisfied
515,5,45,41,neutral or dissatisfied
2475,3,0,0,neutral or dissatisfied
1521,3,0,0,satisfied
3326,4,0,0,satisfied
2561,5,108,111,neutral or dissatisfied
436,5,0,0,satisfied
2380,5,0,0,neutral or dissatisfied
1046,2,1,29,neutral or dissatisfied
1647,2,0,3,neutral or dissatisfied
399,5,0,7,satisfied
651,2,0,1,neutral or dissatisfied
1576,4,30,39,neutral or dissatisfied
364,2,0,0,neutral or dissatisfied
429,1,0,5,satisfied
1300,4,0,0,neutral or dissatisfied
957,2,0,0,satisfied
1195,1,3,2,neutral or dissatisfied
621,1,0,0,satisfied
2176,2,17,0,neutral or dissatisfied
2516,3,0,0,satisfied
1709,5,0,0,neutral or dissatisfied
1886,3,2,16,neutral or dissatisfied
746,5,0,0,neutral or dissatisfied
296,0,0,0,satisfied
1023,2,0,0,satisfied
183,4,11,14,satisfied
689,4,0,0,neutral or dissatisfied
744,3,52,47,neutral or dissatisfied
372,3,64,60,neutral or dissatisfied
67,1,0,13,satisfied
337,4,108,116,neutral or dissatisfied
1620,5,0,0,neutral or dissatisfied
472,1,0,0,neutral or dissatisfied
337,1,15,9,satisfied
3591,3,4,0,satisfied
190,0,0,0,neutral or dissatisfied
775,4,46,77,neutral or dissatisfied
2400,2,0,3,satisfied
2498,4,0,1,satisfied
302,2,10,2,satisfied
1379,5,35,28,satisfied
899,4,0,0,satisfied
674,3,39,37,neutral or dissatisfied
944,2,7,0,satisfied
3255,5,16,0,satisfied
2527,0,0,0,satisfied
192,0,0,0,neutral or dissatisfied
140,3,29,24,neutral or dissatisfied
842,5,0,0,neutral or dissatisfied
1069,1,14,9,neutral or dissatisfied
3840,5,35,46,neutral or dissatisfied
2303,3,8,0,satisfied
829,1,53,37,satisfied
1670,3,5,0,satisfied
554,5,0,5,neutral or dissatisfied
263,1,1,7,neutral or dissatisfied
479,3,0,0,satisfied
3741,4,0,0,satisfied
173,4,3,1,neutral or dissatisfied
391,4,3,0,neutral or dissatisfied
1437,5,41,31,neutral or dissatisfied
364,3,0,0,satisfied
945,4,0,19,satisfied
1620,3,0,0,satisfied
502,5,0,23,neutral or dissatisfied
1085,4,0,0,neutral or dissatisfied
2675,3,0,0,satisfied
689,5,0,3,neutral or dissatisfied
980,4,70,117,neutral or dissatisfied
1448,2,0,0,neutral or dissatisfied
604,5,0,0,neutral or dissatisfied
337,5,0,3,satisfied
2613,3,6,8,satisfied
2986,5,9,0,neutral or dissatisfied
748,4,0,0,satisfied
2640,2,0,0,neutral or dissatisfied
1013,5,0,14,neutral or dissatisfied
390,2,0,15,neutral or dissatisfied
888,5,36,35,neutral or dissatisfied
765,5,0,7,neutral or dissatisfied
515,5,0,0,neutral or dissatisfied
440,1,0,0,satisfied
255,3,0,0,neutral or dissatisfied
270,4,1,0,neutral or dissatisfied
544,1,27,38,neutral or dissatisfied
1089,5,0,0,satisfied
671,1,29,5,neutral or dissatisfied
1172,4,0,0,satisfied
590,0,0,28,neutral or dissatisfied
3490,2,0,0,satisfied
449,4,0,0,neutral or dissatisfied
307,5,29,27,neutral or dissatisfied
451,2,68,61,neutral or dissatisfied
912,5,207,188,neutral or dissatisfied
930,4,0,0,neutral or dissatisfied
925,4,13,0,satisfied
731,5,0,5,satisfied
728,3,0,0,satisfied
1499,2,9,26,neutral or dissatisfied
3183,5,0,7,satisfied
1882,3,0,0,satisfied
2867,3,0,17,satisfied
246,5,80,95,neutral or dissatisfied
628,2,23,42,neutral or dissatisfied
323,4,0,0,satisfied
952,2,0,0,neutral or dissatisfied
2422,4,2,0,satisfied
3429,1,0,5,satisfied
1000,2,7,0,satisfied
1046,4,25,18,satisfied
414,2,8,3,neutral or dissatisfied
1199,5,0,0,neutral or dissatisfied
153,5,50,47,satisfied
1620,1,12,0,satisfied
692,2,1,0,neutral or dissatisfied
926,5,7,0,neutral or dissatisfied
946,4,24,12,satisfied
680,3,37,32,neutral or dissatisfied
1192,3,0,0,neutral or dissatisfied
844,4,0,0,neutral or dissatisfied
331,5,0,0,neutral or dissatisfied
2586,1,43,57,neutral or dissatisfied
594,5,4,7,satisfied
1727,1,0,0,neutral or dissatisfied
3567,3,6,23,neutral or dissatisfied
495,3,11,22,neutral or dissatisfied
829,2,0,0,satisfied
577,2,0,0,neutral or dissatisfied
2248,3,290,271,neutral or dissatisfied
4502,1,12,42,neutral or dissatisfied
116,2,0,0,neutral or dissatisfied
1576,2,1,0,neutral or dissatisfied
323,4,0,0,neutral or dissatisfied
366,4,48,44,neutral or dissatisfied
239,5,38,30,neutral or dissatisfied
3207,4,0,0,satisfied
787,4,0,1,neutral or dissatisfied
237,2,0,0,satisfied
1500,3,9,8,satisfied
3770,1,0,0,neutral or dissatisfied
